gx,gy,gz,avgx,avgy,avgz,minx,maxx,miny,maxy,minz,maxz,,,,,,,,,,
0.105048,-0.210279,-1.107184,0.206116,0.227791,-0.84147,0.105048,0.301471,-0.41659,0.531343,-1.352927,-0.787218,,,,,,,,,,
0.082708,-0.151682,-1.080449,0.202539,0.198846,-0.881066,0.082708,0.301471,-0.41659,0.531343,-1.352927,-0.787218,,,,,,,,,,
0.08698,-0.273271,-1.160166,0.199066,0.167497,-0.924818,0.082708,0.301471,-0.41659,0.531343,-1.352927,-0.787218,,,,,,,,,,
0.049747,-0.484466,-1.271379,0.19201,0.125508,-0.9833,0.049747,0.301471,-0.484466,0.531343,-1.352927,-0.787218,,,,,,,,,,
0.018739,-0.486785,-1.251724,0.182366,0.082274,-1.040322,0.018739,0.301471,-0.486785,0.531343,-1.352927,-0.787218,,,,,,,,,,
0.015199,-0.418666,-1.229872,0.173924,0.041982,-1.094055,0.015199,0.301471,-0.486785,0.531343,-1.352927,-0.787218,,,,,,,,,,
0.016419,-0.257157,-1.180309,0.165965,0.008765,-1.139303,0.015199,0.301471,-0.486785,0.531343,-1.352927,-0.787218,,,,,,,,,,
0.028627,-0.265458,-1.187756,0.15831,-0.025691,-1.18706,0.015199,0.301471,-0.486785,0.531343,-1.352927,-0.787218,,,,,,,,,,
0.039248,-0.313557,-1.22328,0.151224,-0.067546,-1.246377,0.015199,0.301471,-0.486785,0.531343,-1.352927,-0.787218,,,,,,,,,,
0.050723,-0.289874,-1.239883,0.145126,-0.114704,-1.316169,0.015199,0.301471,-0.486785,0.26558,-1.352927,-0.899896,,,,,,,,,,
0.063175,-0.222609,-1.214369,0.134969,-0.149271,-1.366459,0.015199,0.301471,-0.486785,0.096869,-1.352927,-1.071904,,,,,,,,,,
0.05756,-0.136422,-1.152963,0.125502,-0.157206,-1.375371,0.015199,0.301471,-0.486785,0.096869,-1.352927,-1.071904,,,,,,,,,,
0.051944,-0.090399,-1.11048,0.116773,-0.175298,-1.395392,0.015199,0.301471,-0.486785,0.00702,-1.352927,-1.080449,,,,,,,,,,
0.053409,-0.073552,-1.096075,0.10437,-0.191729,-1.41103,0.015199,0.26912,-0.486785,-0.073552,-1.352927,-1.080449,,,,,,,,,,
0.043765,-0.010438,-1.041384,0.093103,-0.190741,-1.39732,0.015199,0.248001,-0.486785,-0.010438,-1.352927,-1.041384,,,,,,,,,,
0.044619,0.021791,-1.027223,0.082933,-0.179839,-1.370134,0.015199,0.248001,-0.486785,0.021791,-1.349142,-1.027223,,,,,,,,,,
0.043277,0.035464,-1.029787,0.072697,-0.167692,-1.342019,0.015199,0.245437,-0.486785,0.035464,-1.345968,-1.027223,,,,,,,,,,
0.043154,0.049991,-1.042971,0.062583,-0.154477,-1.313654,0.015199,0.199292,-0.486785,0.049991,-1.304462,-1.027223,,,,,,,,,,
0.06464,0.075627,-1.060673,0.055851,-0.137075,-1.284063,0.015199,0.15803,-0.486785,0.075627,-1.271379,-1.027223,,,,,,,,,,
0.083684,0.083318,-1.063114,0.052133,-0.118788,-1.25734,0.015199,0.105048,-0.486785,0.083318,-1.271379,-1.027223,,,,,,,,,,
0.086858,0.11396,-1.054935,0.051224,-0.103486,-1.239425,0.015199,0.08698,-0.486785,0.11396,-1.271379,-1.027223,,,,,,,,,,
0.050113,0.247391,-0.968016,0.049594,-0.085162,-1.21548,0.015199,0.08698,-0.486785,0.247391,-1.271379,-0.968016,,,,,,,,,,
0.028749,0.260575,-0.916499,0.046682,-0.061381,-1.179515,0.015199,0.086858,-0.486785,0.260575,-1.271379,-0.916499,,,,,,,,,,
0.023256,0.269975,-0.912836,0.045358,-0.024983,-1.125191,0.015199,0.086858,-0.486785,0.269975,-1.251724,-0.912836,,,,,,,,,,
0.025331,0.258622,-0.916865,0.045687,0.012617,-1.070848,0.015199,0.086858,-0.418666,0.269975,-1.239883,-0.912836,,,,,,,,,,
