gx,gy,gz,avgx,avgy,avgz,minx,maxx,miny,maxy,minz,maxz,,,,,,,,,,,
0.005432,0.973997,0.190258,0.005969,0.979326,1.172258,0.002258,0.010438,0.967894,0.978514,0.190258,0.195141,,,,,,,,,,,
0.00763,0.976195,0.194531,0.006061,0.979582,1.172721,0.002258,0.010438,0.967894,0.978514,0.190258,0.195141,,,,,,,,,,,
0.00763,0.971922,0.192333,0.006214,0.979924,1.172966,0.002258,0.010438,0.967894,0.978514,0.190258,0.195141,,,,,,,,,,,
0.008118,0.976439,0.190869,0.006189,0.98012,1.172959,0.002258,0.010438,0.967894,0.978514,0.190258,0.195141,,,,,,,,,,,
0.009217,0.972899,0.191967,0.006281,0.980327,1.173185,0.002258,0.010438,0.967894,0.978514,0.190258,0.195141,,,,,,,,,,,
0.0047,0.969725,0.19038,0.005994,0.979918,1.172685,0.002258,0.009217,0.967894,0.978514,0.190258,0.195141,,,,,,,,,,,
0.006287,0.967649,0.19038,0.006153,0.979888,1.172642,0.002258,0.009217,0.967649,0.978514,0.190258,0.195141,,,,,,,,,,,
0.005921,0.973387,0.191723,0.006177,0.979882,1.172612,0.002258,0.009217,0.967649,0.978514,0.190258,0.195141,,,,,,,,,,,
0.006897,0.97241,0.19038,0.00625,0.979991,1.172532,0.002258,0.009217,0.967649,0.978514,0.190258,0.195141,,,,,,,,,,,
0.00763,0.972044,0.196118,0.006372,0.97979,1.172392,0.002258,0.009217,0.967649,0.978514,0.190258,0.196118,,,,,,,,,,,
0.00531,0.979857,0.192578,0.006391,0.97993,1.172551,0.002258,0.009217,0.967649,0.979857,0.190258,0.196118,,,,,,,,,,,
0.005432,0.974852,0.192456,0.006244,0.97982,1.172306,0.002258,0.009217,0.967649,0.979857,0.190258,0.196118,,,,,,,,,,,
0.002869,0.974608,0.191357,0.006116,0.979894,1.172319,0.002258,0.009217,0.967649,0.979857,0.190258,0.196118,,,,,,,,,,,
0.007386,0.972166,0.193676,0.006177,0.979839,1.17219,0.002258,0.009217,0.967649,0.979857,0.190258,0.196118,,,,,,,,,,,
0.007508,0.974608,0.194531,0.00636,0.979833,1.172154,0.002258,0.009217,0.967649,0.979857,0.190258,0.196118,,,,,,,,,,,
0.012879,0.967039,0.187939,0.006739,0.980168,1.172184,0.002258,0.012879,0.967039,0.979857,0.187939,0.196118,,,,,,,,,,,
0.002014,0.977538,0.192822,0.00644,0.979955,1.171995,0.002014,0.012879,0.967039,0.979857,0.187939,0.196118,,,,,,,,,,,
0.003113,0.976683,0.197095,0.006348,0.979772,1.172062,0.002014,0.012879,0.967039,0.979857,0.187939,0.197095,,,,,,,,,,,
